impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_flash_vortex	2	8	1024	128	bf16	0.5097	0.5087	2.4359	2.1620	304.41	20	1		128	8	2	8	1	8	2	5
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.5430	0.5221	2.1973	2.0892	304.41	20	1		128	8	2	8	1	8	2	5
eager_vortex	2	8	1024	128	bf16	0.9303	0.9288	3.1854	3.2876	437.35	20	1		128	8	2	8	1	8	2	5
vortex_fused	2	8	1024	128	bf16	0.1342	0.1344	1.3960	1.3751	100.20	20	1		128	8	2	8	1	8	2	5
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1290	0.1288	0.4625	0.4494	96.25	20	1		128	8	2	8	1	8	2	0
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0807	0.0793	0.3034	0.2952	80.25	20	1		128	8	2	8	1	8	2	0
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1811	0.1804	0.8175	0.8163	80.25	20	1		128	8	2	8	1	8	2	0
sdpa_flash_vortex	2	8	2048	128	bf16	0.3501	0.3495	1.0288	1.0257	160.16	20	1		128	8	2	8	1	8	2	0
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.3014	0.3009	0.8483	0.8483	160.16	20	1		128	8	2	8	1	8	2	0
eager_vortex	2	8	2048	128	bf16	1.8629	1.8600	4.8814	4.8760	1172.03	20	1		128	8	2	8	1	8	2	0
vortex_fused	2	8	2048	128	bf16	0.1410	0.1397	1.1721	1.1469	136.27	20	1		128	8	2	8	1	8	2	0
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0725	0.0700	0.2216	0.2178	48.13	20	1		128	8	2	8	1	8	2	7
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0559	0.0529	0.2028	0.1970	40.13	20	1		128	8	2	8	1	8	2	7
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0741	0.0735	0.3092	0.3083	40.13	20	1		128	8	2	8	1	8	2	7
sdpa_flash_vortex	2	8	1024	128	bf16	0.6334	0.6333	2.9040	3.0152	368.54	20	1		128	8	2	8	1	8	2	7
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.7463	0.6482	4.0214	4.1312	368.54	20	1		128	8	2	8	1	8	2	7
eager_vortex	2	8	1024	128	bf16	1.0544	1.0551	3.4013	3.1214	501.47	20	1		128	8	2	8	1	8	2	7
vortex_fused	2	8	1024	128	bf16	0.1519	0.1513	1.4394	1.4231	100.20	20	1		128	8	2	8	1	8	2	7
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1285	0.1269	0.4520	0.4498	96.25	20	1		128	8	2	8	1	8	2	1
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0810	0.0791	0.3085	0.2943	80.25	20	1		128	8	2	8	1	8	2	1
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1781	0.1782	0.8152	0.8149	80.25	20	1		128	8	2	8	1	8	2	1
sdpa_flash_vortex	2	8	2048	128	bf16	0.4784	0.4784	1.7468	1.6944	288.22	20	1		128	8	2	8	1	8	2	1
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.4709	0.4704	1.6947	1.6740	288.22	20	1		128	8	2	8	1	8	2	1
eager_vortex	2	8	2048	128	bf16	1.9899	1.9874	5.2993	5.2987	1172.07	20	1		128	8	2	8	1	8	2	1
vortex_fused	2	8	2048	128	bf16	0.1893	0.1899	1.4438	1.3977	136.27	20	1		128	8	2	8	1	8	2	1
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1427	0.1399	0.4513	0.4479	96.25	20	1		128	8	2	8	1	8	2	3
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0795	0.0786	0.3762	0.3561	80.25	20	1		128	8	2	8	1	8	2	3
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1916	0.1914	0.8365	0.8342	80.25	20	1		128	8	2	8	1	8	2	3
sdpa_flash_vortex	2	8	2048	128	bf16	0.7036	0.7041	2.8243	2.9145	416.35	20	1		128	8	2	8	1	8	2	3
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.7438	0.7645	3.4732	3.5014	416.35	20	1		128	8	2	8	1	8	2	3
