impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_memeff_attn_only	2	8	4096	128	bf16	0.5245	0.5224	2.3254	2.3247	160.51	20	1		128	8	3	8	1	8	3	3
sdpa_flash_vortex	2	8	4096	128	bf16	1.5522	1.5485	4.5274	4.5306	768.48	20	1		128	8	3	8	1	8	3	3
sdpa_cudnn_vortex	2	8	4096	128	bf16	1.4150	1.4151	4.0275	4.0261	768.48	20	1		128	8	3	8	1	8	3	3
eager_vortex	2	8	4096	128	bf16	7.6699	7.6661	20.0048	19.9954	4336.07	20	1		128	8	3	8	1	8	3	3
vortex_fused	2	8	4096	128	bf16	0.5085	0.5081	3.6460	3.6674	240.70	20	1		128	8	3	8	1	8	3	3
sdpa_flash_attn_only	2	8	4096	128	bf16	0.3442	0.3452	1.1658	1.1674	192.50	20	1		128	8	3	8	1	8	3	5
sdpa_cudnn_attn_only	2	8	4096	128	bf16	0.1762	0.1751	0.6449	0.6440	160.50	20	1		128	8	3	8	1	8	3	5
sdpa_memeff_attn_only	2	8	4096	128	bf16	0.5272	0.5278	2.3357	2.3333	160.51	20	1		128	8	3	8	1	8	3	5
sdpa_flash_vortex	2	8	4096	128	bf16	2.0376	2.0381	6.0642	5.9376	1024.60	20	1		128	8	3	8	1	8	3	5
sdpa_cudnn_vortex	2	8	4096	128	bf16	1.8905	1.8885	5.3926	5.3914	1024.60	20	1		128	8	3	8	1	8	3	5
eager_vortex	2	8	4096	128	bf16	8.1483	8.1416	21.3825	21.3754	4336.07	20	1		128	8	3	8	1	8	3	5
vortex_fused	2	8	4096	128	bf16	0.5995	0.5980	4.8691	4.8610	240.70	20	1		128	8	3	8	1	8	3	5
sdpa_flash_attn_only	2	8	4096	128	bf16	0.3416	0.3422	1.1714	1.1716	192.50	20	1		128	8	3	8	1	8	3	7
sdpa_cudnn_attn_only	2	8	4096	128	bf16	0.1782	0.1773	0.6456	0.6450	160.50	20	1		128	8	3	8	1	8	3	7
sdpa_memeff_attn_only	2	8	4096	128	bf16	0.5223	0.5231	2.3349	2.3386	160.51	20	1		128	8	3	8	1	8	3	7
sdpa_flash_vortex	2	8	4096	128	bf16	2.5096	2.5117	7.3316	7.3045	1280.73	20	1		128	8	3	8	1	8	3	7
sdpa_cudnn_vortex	2	8	4096	128	bf16	2.3663	2.3659	6.8115	6.8240	1280.73	20	1		128	8	3	8	1	8	3	7
eager_vortex	2	8	4096	128	bf16	8.6035	8.5902	22.6672	22.6613	4336.07	20	1		128	8	3	8	1	8	3	7
vortex_fused	2	8	4096	128	bf16	0.6817	0.6805	5.5250	5.5233	240.70	20	1		128	8	3	8	1	8	3	7
sdpa_flash_attn_only	2	8	8192	128	bf16	0.9852	0.9814	3.5912	3.5892	385.00	20	1		128	8	3	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	8192	128	bf16	0.5046	0.5026	1.9062	1.9106	321.00	20	1		128	8	3	8	1	8	3	0
sdpa_memeff_attn_only	2	8	8192	128	bf16	1.7706	1.7692	7.6996	7.6848	321.02	20	1		128	8	3	8	1	8	3	0
sdpa_flash_vortex	2	8	8192	128	bf16	1.9133	1.9093	5.9602	5.9566	640.54	20	1		128	8	3	8	1	8	3	0
sdpa_cudnn_vortex	2	8	8192	128	bf16	1.4388	1.4377	4.2675	4.2695	640.54	20	1		128	8	3	8	1	8	3	0
eager_vortex	2	8	8192	128	bf16	27.6185	27.6187	69.1880	69.1839	16832.03	20	1		128	8	3	8	1	8	3	0
vortex_fused	2	8	8192	128	bf16	0.8598	0.8580	4.5074	4.5050	417.39	20	1		128	8	3	8	1	8	3	0
sdpa_flash_attn_only	2	8	8192	128	bf16	0.9913	0.9892	3.6126	3.5996	385.00	20	1		128	8	3	8	1	8	3	1
sdpa_cudnn_attn_only	2	8	8192	128	bf16	0.5163	0.5156	1.9151	1.9088	321.00	20	1		128	8	3	8	1	8	3	1
sdpa_memeff_attn_only	2	8	8192	128	bf16	1.8306	1.8210	7.6742	7.6559	321.02	20	1		128	8	3	8	1	8	3	1
sdpa_flash_vortex	2	8	8192	128	bf16	2.3647	2.3655	7.2650	7.2639	960.60	20	1		128	8	3	8	1	8	3	1
sdpa_cudnn_vortex	2	8	8192	128	bf16	1.9097	1.9077	5.5690	5.5646	960.60	20	1		128	8	3	8	1	8	3	1
eager_vortex	2	8	8192	128	bf16	28.0967	28.0754	70.5908	70.5952	16832.07	20	1		128	8	3	8	1	8	3	1
vortex_fused	2	8	8192	128	bf16	1.0731	1.0712	6.1715	6.1706	417.39	20	1		128	8	3	8	1	8	3	1
sdpa_flash_attn_only	2	8	8192	128	bf16	0.9843	0.9836	3.6147	3.6118	385.00	20	1		128	8	3	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	8192	128	bf16	0.5088	0.5085	1.9354	1.9358	321.00	20	1		128	8	3	8	1	8	3	3
sdpa_memeff_attn_only	2	8	8192	128	bf16	1.8302	1.8335	7.6697	7.6581	321.02	20	1		128	8	3	8	1	8	3	3
sdpa_flash_vortex	2	8	8192	128	bf16	3.2817	3.2801	9.9036	9.9135	1472.73	20	1		128	8	3	8	1	8	3	3
sdpa_cudnn_vortex	2	8	8192	128	bf16	2.8404	2.8381	8.2252	8.2207	1472.73	20	1		128	8	3	8	1	8	3	3
eager_vortex	2	8	8192	128	bf16	29.0085	29.0000	73.1759	73.1772	16832.07	20	1		128	8	3	8	1	8	3	3
vortex_fused	2	8	8192	128	bf16	1.1959	1.1919	8.4837	8.4795	417.39	20	1		128	8	3	8	1	8	3	3
sdpa_flash_attn_only	2	8	8192	128	bf16	0.9831	0.9821	3.5984	3.5965	385.00	20	1		128	8	3	8	1	8	3	5
sdpa_cudnn_attn_only	2	8	8192	128	bf16	0.5070	0.5049	1.9343	1.9286	321.00	20	1		128	8	3	8	1	8	3	5
sdpa_memeff_attn_only	2	8	8192	128	bf16	1.8551	1.8588	7.6833	7.6797	321.02	20	1		128	8	3	8	1	8	3	5
sdpa_flash_vortex	2	8	8192	128	bf16	4.2174	4.2191	12.4630	12.4629	1984.85	20	1		128	8	3	8	1	8	3	5
sdpa_cudnn_vortex	2	8	8192	128	bf16	3.7491	3.7472	10.7910	10.7857	1984.85	20	1		128	8	3	8	1	8	3	5
eager_vortex	2	8	8192	128	bf16	29.8943	29.8866	75.6491	75.6463	16832.07	20	1		128	8	3	8	1	8	3	5
vortex_fused	2	8	8192	128	bf16	1.3577	1.3590	10.8927	10.8863	417.39	20	1		128	8	3	8	1	8	3	5
sdpa_flash_attn_only	2	8	8192	128	bf16	0.9835	0.9844	3.5978	3.5908	385.00	20	1		128	8	3	8	1	8	3	7
sdpa_cudnn_attn_only	2	8	8192	128	bf16	0.5118	0.5096	1.9305	1.9325	321.00	20	1		128	8	3	8	1	8	3	7
sdpa_memeff_attn_only	2	8	8192	128	bf16	1.8309	1.8362	7.6971	7.6777	321.02	20	1		128	8	3	8	1	8	3	7
sdpa_flash_vortex	2	8	8192	128	bf16	5.1363	5.1344	15.0366	15.0319	2496.98	20	1		128	8	3	8	1	8	3	7
sdpa_cudnn_vortex	2	8	8192	128	bf16	4.6623	4.6602	13.4105	13.4050	2496.98	20	1		128	8	3	8	1	8	3	7
eager_vortex	2	8	8192	128	bf16	30.8082	30.8021	78.2393	78.2386	16832.07	20	1		128	8	3	8	1	8	3	7
vortex_fused	2	8	8192	128	bf16	1.5144	1.5122	12.2179	12.2150	417.39	20	1		128	8	3	8	1	8	3	7
