impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_memeff_attn_only	2	8	4096	128	bf16	0.5302	0.5300	2.3369	2.3394	160.51	15	1		128	8	2	8	1	8	3	1
sdpa_flash_vortex	2	8	4096	128	bf16	1.0627	1.0638	3.1420	3.1435	512.35	15	1		128	8	2	8	1	8	3	1
sdpa_cudnn_vortex	2	8	4096	128	bf16	0.9166	0.9161	2.5879	2.5885	512.35	15	1		128	8	2	8	1	8	3	1
eager_vortex	2	8	4096	128	bf16	7.2353	7.1709	18.5799	18.5733	4336.07	15	1		128	8	2	8	1	8	3	1
vortex_fused	2	8	4096	128	bf16	0.4396	0.4416	2.5944	2.6077	240.70	15	1		128	8	2	8	1	8	3	1
sdpa_flash_attn_only	2	8	4096	128	bf16	0.3492	0.3496	1.1944	1.1935	192.50	15	1		128	8	2	8	1	8	3	5
sdpa_cudnn_attn_only	2	8	4096	128	bf16	0.1821	0.1813	0.6670	0.6480	160.50	15	1		128	8	2	8	1	8	3	5
sdpa_memeff_attn_only	2	8	4096	128	bf16	0.5252	0.5243	2.3269	2.3235	160.51	15	1		128	8	2	8	1	8	3	5
sdpa_flash_vortex	2	8	4096	128	bf16	2.0452	2.0452	5.9786	5.9804	1024.60	15	1		128	8	2	8	1	8	3	5
sdpa_cudnn_vortex	2	8	4096	128	bf16	1.9022	1.8994	5.4429	5.4183	1024.60	15	1		128	8	2	8	1	8	3	5
eager_vortex	2	8	4096	128	bf16	8.1533	8.1495	21.4063	21.4046	4336.07	15	1		128	8	2	8	1	8	3	5
vortex_fused	2	8	4096	128	bf16	0.6106	0.6130	4.8822	4.8710	240.70	15	1		128	8	2	8	1	8	3	5
sdpa_flash_attn_only	2	8	4096	128	bf16	0.3429	0.3439	1.1720	1.1702	192.50	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	4096	128	bf16	0.1832	0.1819	0.6477	0.6471	160.50	15	1		128	8	2	8	1	8	3	3
sdpa_memeff_attn_only	2	8	4096	128	bf16	0.5286	0.5275	2.3255	2.3268	160.51	15	1		128	8	2	8	1	8	3	3
sdpa_flash_vortex	2	8	4096	128	bf16	1.5548	1.5554	4.5638	4.5685	768.48	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_vortex	2	8	4096	128	bf16	1.4132	1.4048	4.0258	4.0258	768.48	15	1		128	8	2	8	1	8	3	3
eager_vortex	2	8	4096	128	bf16	7.6687	7.6664	20.0088	20.0007	4336.07	15	1		128	8	2	8	1	8	3	3
vortex_fused	2	8	4096	128	bf16	0.5200	0.5180	3.7173	3.7031	240.70	15	1		128	8	2	8	1	8	3	3
sdpa_flash_attn_only	2	8	8192	128	bf16	0.9862	0.9838	3.6047	3.6052	385.00	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	8192	128	bf16	0.5070	0.5067	1.9221	1.9187	321.00	15	1		128	8	2	8	1	8	3	0
sdpa_memeff_attn_only	2	8	8192	128	bf16	1.7936	1.7902	7.7518	7.7502	321.02	15	1		128	8	2	8	1	8	3	0
sdpa_flash_vortex	2	8	8192	128	bf16	1.8976	1.8926	5.9332	5.9384	640.54	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_vortex	2	8	8192	128	bf16	1.4370	1.4357	4.2750	4.2774	640.54	15	1		128	8	2	8	1	8	3	0
eager_vortex	2	8	8192	128	bf16	27.6147	27.6068	69.3111	69.3265	16832.03	15	1		128	8	2	8	1	8	3	0
vortex_fused	2	8	8192	128	bf16	0.8827	0.8791	4.7424	4.7352	417.39	15	1		128	8	2	8	1	8	3	0
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0603	0.0596	0.2208	0.2195	48.13	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0497	0.0482	0.2489	0.2571	40.13	15	1		128	8	2	8	1	8	3	7
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0754	0.0746	0.3141	0.3127	40.13	15	1		128	8	2	8	1	8	3	7
sdpa_flash_vortex	2	8	1024	128	bf16	0.6489	0.6470	2.7550	2.6988	368.54	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.6610	0.6592	3.7668	3.9085	368.54	15	1		128	8	2	8	1	8	3	7
eager_vortex	2	8	1024	128	bf16	1.0591	1.0588	5.2604	5.5081	501.47	15	1		128	8	2	8	1	8	3	7
vortex_fused	2	8	1024	128	bf16	0.1756	0.1756	1.6060	1.5717	108.26	15	1		128	8	2	8	1	8	3	7
sdpa_flash_attn_only	2	8	8192	128	bf16	0.9881	0.9812	3.6027	3.6006	385.00	15	1		128	8	2	8	1	8	3	1
